X,Y,EC475Hz[mS/m]
20,23.92,2784.29
20,24,892.511
20,24.08,0.176514
20,24.16,4293.83
20,24.24,1009.52
20,24.32,0.18356
20,24.4,4220.97
20,24.48,394.595
20,24.56,0.186618
20,24.64,4282.72
20,24.72,1627.24
20,24.8,0.178954
20,24.88,5612.96
20,24.96,443.651
20,25.04,0.184317
20,25.12,6565.71
20,25.2,349.339
20,25.28,0.183791
20,25.36,6309
20,25.44,335.224
20,25.52,0.188368
20,25.6,6959.42
20,25.68,483.932
20,25.76,0.177167
20,25.84,5418.85
20,25.92,729.367
20,26,0.173647
20,26.08,8439.87
20,26.16,561.732
20,26.24,0.190824
20,26.32,7151.89
20,26.4,62.4468
20,26.48,0.190248
20,26.56,6578.68
20,26.64,127.757
20,26.72,585.348
20,26.8,9168.35
20,26.88,687.373
20,26.96,640.13
20,27.04,9228.36
20,27.12,369.328
20,27.2,21.4686
20,27.28,8122.09
20,27.36,163.749
20,27.44,747.686
20,27.52,8167.36
20,27.6,159.2
20,27.68,291.437
20,27.76,5588.3
20,27.84,173.344
20,27.92,1434.6
20,28,5156.47
20,28.08,88.1961
20,28.16,1923.47
20,28.24,5595.69
20,28.32,1.7479
20,28.4,1479.56
20,28.48,4370.42
20,28.56,844.782
20,28.64,1491.17
20,28.72,2402.29
20,28.8,1664.36
20,28.88,33.1665
20,28.96,0.177933
20,29.04,4758.54
20,29.12,243.425
20,29.2,0.189018
20,29.28,8049.64
20,29.36,452.17
20,29.44,0.194506
20,29.52,11427.9
20,29.6,957.902
20,29.68,0.174312
20,29.76,14262.2
20,29.84,1071.48
20,29.92,113.798
20,30,15968.3
